,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12
1995,4.4,4.8,5.1,5.2,5.1,5.1,4.7,4.3,4.4,4.3,4.4,4.3
1994,5,5,5,4.9,4.9,4.7,4.8,4.8,4.5,4.4,4.4,4.3
1993,4.7,4,4,4.6,4.6,4.9,4.9,4.6,4.3,4.6,4.7,4.9
1992,6,6.8,6.9,6.5,6.5,6.2,5.2,5.8,5.8,5.2,5.1,5.3
1991,6.7,5.9,5.9,5.9,6.2,6.2,6.1,6,5.7,5.5,5.7,5.5
1990,6.7,7.3,7,7,6.8,6.5,6.3,6.5,6.5,7,6.7,6.5
1989,6.4,6.2,6.1,6.7,6.9,7.1,7.4,6.6,6.8,7.1,7.3,6.9
1988,4.5,4.3,4.5,3.9,4,4.4,4.7,5.8,5.7,5.2,5.4,5.8
1987,6,6,6.3,6.3,5.8,4.9,4.9,4.6,4.4,4.7,4.7,4.6
1986,9.3,9,8.6,7.8,7.8,8.9,9.4,9.5,9.5,9.3,8.2,8.3
1985,9.4,9.7,9.5,10.2,9.9,8.9,7.9,7.3,8.3,8.2,8.5,8.2
1984,12.1,11.9,12.2,11.2,11.3,11.4,12.7,12,11.4,10.5,10,9
1983,13.6,13.3,12.8,12.9,11.8,11.3,10.3,11,11.8,12.2,13,12.2
1982,14.5,14.8,13.6,14,15.1,16.1,15.3,14.7,14,13.8,13.2,14
1981,14.4,14,15.6,15.6,15.4,13.7,14.3,14.4,14.1,14.4,14.3,14.4
1980,16.8,16.9,16.3,15.7,15.2,15.9,15.1,15.3,15,14.4,15.3,15.2
1979,16.7,16.4,16.2,15.5,15.7,15.5,15.5,14.7,15.2,15.7,15.5,15.6
1978,24.4,23.7,22.4,22.7,22.9,20.8,19.5,17.7,17.1,16.3,15.9,16.5
1977,22.2,22.7,22.8,22.5,18.2,22.2,25.4,28.4,27.8,28,26.7,26.4
1976,13.9,14.1,15.9,16.2,20.1,19,17.9,17.1,17.4,19,20.5,19.8
1975,18.8,19.6,17.8,17.3,17.2,17.1,17.5,17.4,17.5,16.2,13.8,14.1
1974,14,14.2,15.8,16.6,16.4,15.2,15.3,15.3,15.1,14.5,17.5,17.9
1973,8.1,8.3,8.2,9.7,10.8,12.2,11.9,12.5,12.9,13.9,13.8,14.2
1972,8.6,8.6,8.5,7.4,7.2,7,8.5,9.4,9.7,9.2,7.9,7.3
1971,7.4,7.7,8,8.6,10,10,8,6.5,7.3,7.4,8.5,9.6
1970,4.2,4.4,4.6,3.9,3.2,4.8,6,7.3,7.6,8.3,7.6,6.8
1969,2.4,1.7,1.3,1.6,2,0.5,2.1,2.4,2.7,2.8,3,3.4
1968,6.8,6,6.6,6.1,5.4,6.6,5.6,4.2,3.7,3.6,2.2,2.9
1967,5.5,6.4,6.9,7.3,6.1,5,5.1,6.5,7.1,6.9,7.3,6.6
1966,8.1,6.2,5.4,5.6,6.7,7.4,7.2,6.9,5.5,5.6,5.2,5.3
1965,14,15.8,16.4,16.8,17,14.9,12.6,11.4,11.4,10.2,10,9.4
1964,5.1,4.3,2.6,3.1,2.8,6.1,7.3,7.8,9.1,10.6,11.8,12.7
1963,10.4,10.7,11.9,10.3,9.5,6.9,8.1,9.5,8.5,7.8,6.4,5.5
1962,0.4,1.6,3,4.2,5.8,6.9,6.9,6.5,7,7.6,8.7,9.9
